Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"28,839",244.585,0.066
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"332,831",79.26,0.702
3,LANCET,0140-6736,"233,269",53.254,0.436
4,CHEMICAL REVIEWS,0009-2665,"174,920",52.613,0.265
5,Nature Reviews Materials,2058-8437,"3,218",51.941,0.015
6,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"31,313",50.167,0.054
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"148,775",47.661,0.3
8,Nature Energy,2058-7546,"5,072",46.859,0.02
9,NATURE REVIEWS CANCER,1474-175X,"50,407",42.784,0.08
10,NATURE REVIEWS IMMUNOLOGY,1474-1733,"39,215",41.982,0.085
11,NATURE,0028-0836,"710,767",41.577,1.355
12,NATURE REVIEWS GENETICS,1471-0056,"35,680",41.465,0.094
13,SCIENCE,0036-8075,"645,134",41.058,1.126
14,CHEMICAL SOCIETY REVIEWS,0306-0012,"125,900",40.182,0.276
15,NATURE MATERIALS,1476-1122,"92,291",39.235,0.195
16,Nature Nanotechnology,1748-3387,"57,369",37.49,0.171
17,LANCET ONCOLOGY,1470-2045,"44,962",36.421,0.136
18,REVIEWS OF MODERN PHYSICS,0034-6861,"47,289",36.367,0.055
19,NATURE BIOTECHNOLOGY,1087-0156,"57,510",35.724,0.161
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"43,667",35.612,0.095
21,NATURE REVIEWS NEUROSCIENCE,1471-003X,"40,834",32.635,0.07
22,NATURE MEDICINE,1078-8956,"75,461",32.621,0.172
23,Nature Photonics,1749-4885,"39,331",32.521,0.128
24,NATURE REVIEWS MICROBIOLOGY,1740-1526,"26,627",31.851,0.055
25,CELL,0092-8674,"230,625",31.398,0.583
26,ADVANCES IN PHYSICS,0001-8732,"5,747",30.917,0.005
27,Energy & Environmental Science,1754-5692,"71,920",30.067,0.18
28,World Psychiatry,2051-5545,"4,055",30,0.011
28,World Psychiatry,2051-5545,"4,055",30,0.011
30,LANCET NEUROLOGY,1474-4422,"28,678",27.144,0.069
31,NATURE GENETICS,1061-4036,"93,641",27.125,0.234
32,NATURE METHODS,1548-7091,"54,686",26.919,0.243
33,PSYCHOLOGICAL INQUIRY,1047-840X,"4,063",26.364,0.003
34,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,"156,476",26.36,0.285
35,Nature Chemistry,1755-4330,"29,548",26.201,0.102
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,"10,618",25.242,0.01
37,LANCET INFECTIOUS DISEASES,1473-3099,"20,494",25.148,0.067
38,Annual Review of Astronomy and Astrophysics,0066-4146,"10,702",24.912,0.021
39,Nature Reviews Clinical Oncology,1759-4774,"8,354",24.653,0.026
40,PROGRESS IN POLYMER SCIENCE,0079-6700,"24,520",24.558,0.027
41,Materials Today,1369-7021,"9,962",24.537,0.017
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,"7,119",24.48,0.005
43,Cancer Discovery,2159-8274,"11,896",24.373,0.065
44,PHYSIOLOGICAL REVIEWS,0031-9333,"27,680",24.014,0.03
45,PROGRESS IN MATERIALS SCIENCE,0079-6425,"12,382",23.75,0.016
46,BMJ-British Medical Journal,1756-1833,"109,321",23.562,0.15
47,EUROPEAN HEART JOURNAL,0195-668X,"56,054",23.425,0.147
48,Living Reviews in Relativity,1433-8351,"2,409",23.333,0.006
49,Cell Stem Cell,1934-5909,"23,493",23.29,0.096
50,CANCER CELL,1535-6108,"35,217",22.844,0.097
51,Annual Review of Psychology,0066-4308,"18,461",22.774,0.023
51,Annual Review of Psychology,0066-4308,"18,461",22.774,0.023
53,Journal of Statistical Software,1548-7660,"14,900",22.737,0.039
54,Nature Physics,1745-2473,"33,233",22.727,0.122
55,Annual Review of Immunology,0732-0582,"17,086",22.714,0.029
56,ADVANCED MATERIALS,0935-9648,"190,543",21.95,0.365
57,Advanced Energy Materials,1614-6832,"34,218",21.875,0.1
58,Annual Review of Condensed Matter Physics,1947-5454,"2,349",21.853,0.013
59,NATURE IMMUNOLOGY,1529-2908,"41,410",21.809,0.102
60,Lancet Respiratory Medicine,2213-2600,"5,818",21.466,0.031
61,Advances in Optics and Photonics,1943-8206,"2,050",21.286,0.005
61,Psychological Science in the Public Interest,1529-1006,"1,231",21.286,0.004
63,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,"67,004",20.955,0.142
64,JAMA Oncology,2374-2437,"5,707",20.871,0.028
65,GASTROENTEROLOGY,0016-5085,"73,198",20.773,0.12
66,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,"18,070",20.642,0.02
67,Cell Metabolism,1550-4131,"29,834",20.565,0.102
68,Nature Reviews Endocrinology,1759-5029,"7,377",20.265,0.025
69,IEEE Communications Surveys and Tutorials,1553-877X,"12,217",20.23,0.036
70,Annual Review of Biochemistry,0066-4154,"19,873",20.154,0.03
71,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"26,127",20.099,0.031
72,JAMA Internal Medicine,2168-6106,"11,840",19.989,0.076
73,NATURE NEUROSCIENCE,1097-6256,"59,426",19.912,0.154
74,Nature Reviews Neurology,1759-4758,"8,097",19.819,0.028
75,IMMUNITY,1074-7613,"46,541",19.734,0.136
76,ANNALS OF INTERNAL MEDICINE,0003-4819,"53,689",19.384,0.099
77,Lancet Diabetes & Endocrinology,2213-8587,"5,549",19.313,0.03
78,Nature Climate Change,1758-678X,"17,986",19.181,0.097
78,Nature Climate Change,1758-678X,"17,986",19.181,0.097
80,NATURE CELL BIOLOGY,1465-7392,"39,896",19.064,0.093
81,PHARMACOLOGICAL REVIEWS,0031-6997,"12,719",18.964,0.014
82,CIRCULATION,0009-7322,"167,720",18.881,0.224
83,Annual Review of Plant Biology,1543-5008,"17,852",18.712,0.018
84,Lancet Global Health,2214-109X,"4,455",18.705,0.024
84,Lancet Global Health,2214-109X,"4,455",18.705,0.024
86,TRENDS IN CELL BIOLOGY,0962-8924,"13,708",18.564,0.038
87,Cell Host & Microbe,1931-3128,"15,851",17.872,0.065
88,SURFACE SCIENCE REPORTS,0167-5729,"4,543",17.8,0.003
89,Nano Today,1748-0132,"7,073",17.753,0.014
90,EUROPEAN UROLOGY,0302-2838,"30,723",17.581,0.071
91,Nature Reviews Gastroenterology & Hepatology,1759-5045,"6,686",17.324,0.024
92,GUT,0017-5749,"42,750",17.016,0.072
93,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,"99,084",16.834,0.214
94,Science Translational Medicine,1946-6234,"26,692",16.71,0.126
95,JAMA Psychiatry,2168-622X,"8,414",16.642,0.045
95,JAMA Psychiatry,2168-622X,"8,414",16.642,0.045
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,1754-9426,"1,123",16.375,0.003
98,Nature Reviews Disease Primers,2056-676X,"1,559",16.071,0.007
99,Annual Review of Pathology-Mechanisms of Disease,1553-4006,"4,402",15.952,0.01
