gunning_fog,pos,neg,neu,Citations,Times Cited,Number Authors,Journal Impact Factor,wc,sc,wps,dic,sixltr,insight,cause,discrep,tentat,certain,quant,numbers,jargon,Retracted
12.12,0.083,0.03,0.887,6,125,3,7.776,7252,381,19.034120734908136,0.32349696635410924,2216,0.14340871483728626,0.18532818532818526,0.06384445670159956,0.19567015995587425,0.1199669056811914,0.16050744622173194,0.047986762272476564,0.6765030336458908,True
13.47,0.08199999999999999,0.009000000000000001,0.909,4,43,2,7.776,3308,152,21.76315789473684,0.3059250302297461,1186,0.11426844014510278,0.15991535671100365,0.03929866989117292,0.17623941958887546,0.09008464328899636,0.1163845223700121,0.035368802902055616,0.6940749697702541,True
14.9,0.027000000000000003,0.026,0.947,5,60,3,2.852,3568,180,19.822222222222226,0.3394058295964126,1175,0.14742152466367714,0.19198430493273544,0.0625,0.19198430493273544,0.1202354260089686,0.13733183856502246,0.05885650224215248,0.6605941704035874,True
12.07,0.079,0.019,0.902,6,69,2,1.676,16955,923,18.369447453954496,0.35948097906222354,5985,0.14072544971984666,0.1929814214096137,0.04806841639634326,0.19274550280153346,0.1073429666764966,0.13470952521380125,0.05797699793571218,0.6405190209377765,True
12.48,0.053,0.017,0.93,312,15,3,3.0269999999999997,4986,331,15.06344410876133,0.3768551945447252,1758,0.1486161251504212,0.1953469715202567,0.048937023666265546,0.22462896109105496,0.12655435218612113,0.16807059767348576,0.04011231448054553,0.6231448054552748,True
14.51,0.068,0.033,0.899,70,34,9,0.0,6071,286,21.227272727272727,0.3800032943501894,1821,0.16570581452808433,0.21363860978422008,0.07099324658211167,0.2286279031461045,0.14017460056003953,0.17262394992587712,0.07428759677153683,0.6199967056498106,True
13.74,0.066,0.057,0.877,0,41,6,2.2840000000000003,3561,230,15.482608695652173,0.35832631283347377,1193,0.11597865768042685,0.18646447627071047,0.04240381915192362,0.19264251614714967,0.11148553777028923,0.13058129738837404,0.04268463914630722,0.6416736871665263,True
11.9,0.085,0.027000000000000003,0.888,2,38,2,7.776,3337,178,18.74719101123595,0.3850764159424633,978,0.16182199580461493,0.2220557386874438,0.06233143542103686,0.2220557386874438,0.11866946359005096,0.1624213365298172,0.05783637998201978,0.6149235840575367,True
14.23,0.101,0.026,0.872,0,11,3,4.0569999999999995,2245,160,14.03125,0.3728285077951001,743,0.16080178173719376,0.1915367483296214,0.07349665924276169,0.22004454342984409,0.11224944320712693,0.15723830734966593,0.06503340757238307,0.6271714922048998,True
13.88,0.037000000000000005,0.036000000000000004,0.927,13,54,3,8.44,8500,519,16.377649325626205,0.3484705882352941,2757,0.15705882352941178,0.18505882352941172,0.06317647058823529,0.2012941176470588,0.11047058823529413,0.14423529411764707,0.06835294117647059,0.6515294117647059,True
